199,AUSIMM Orebody Modelling and Strategic Mine Planning Conference,,ERA2010,A,No,0914,,
200,AUSIMM Project Evaluation,,ERA2010,A,No,0914,,
201,Australasia Conference on Information Security and Privacy,AISP,ERA2010,C,Yes,0806,,
202,Australasian Coasts and Ports Conference,,ERA2010,A,No,0911,,
203,Australasian Cognitive Science Society Conference,AuCSS,ERA2010,C,Yes,0801,,
204,Australasian Compumod Users' Conference,COMPUMOD,ERA2010,C,Yes,0803,,
205,Australasian Computer Architecture Conference,ACAC,ERA2010,C,Yes,0803,,
206,Australasian Computer Music Conference,ACMA,ERA2010,C,Yes,0899,,
207,Australasian Computer Science Conference,ACSC,ERA2010,B,Yes,08,,
208,Australasian Computer Systems Architecture Conference (now Asia-Pacific Computer Systems Architecture Conference),ACSAC,ERA2010,B,Yes,0803,,
209,Australasian Computers in Education Conference,ACEC,ERA2010,C,Yes,0899,,
210,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,ERA2010,C,Yes,0802,,
211,Australasian Computing Education Conference (ACE),ACE,ERA2010,B,Yes,0899,,
212,Australasian Conference on Information Security and Privacy,ACISP,ERA2010,B,Yes,0804,,
213,Australasian Conference on Information Systems,ACIS,ERA2010,A,Yes,0806,,
214,Australasian Conference on Parallel and Real-Time Systems,APRTS,ERA2010,C,Yes,0805,,
215,Australasian Conference on Pattern Languages of Programs,KoalaPLoP,ERA2010,C,Yes,0803,,
216,Australasian Conference on Robotics and Automation,ACRA,ERA2010,B,Yes,0801,,
217,Australasian Conference on the Mechanics of Structures and Materials,,ERA2010,B,No,0905,,
218,Australasian Congress on Applied Mechanics,,ERA2010,A,No,0910,0913,
219,Australasian Database Conference,ADC,ERA2010,B,Yes,0804,,
220,Australasian Fluid Mechanics Conference,,ERA2010,A,No,0913,,
221,Australasian Housing Researchers Conference,AHRC,ERA2010,A,No,1205,,
222,Australasian Information Security Conference,AISC,ERA2010,B,Yes,0804,,
223,Australasian Information Security Workshop 2007 (Privacy Enhancing Technologies),AISW-PET,ERA2010,C,Yes,0803,,
224,Australasian Joint Conference on Artificial Intelligence,AI,ERA2010,B,Yes,0801,,
225,Australasian Port and Harbour Conference,,ERA2010,A,No,0911,,
226,Australasian Refinement Workshop,AuRW,ERA2010,C,Yes,0803,,
227,Australasian Remote Sensing Conference and Photogrammetry Conference,ARSPC,ERA2010,C,No,1005,,
228,"Australasian Road Safety Research, Policing and Education Conference",,ERA2010,C,No,0902,,
229,Australasian Speech Science and Technology,SST,ERA2010,B,Yes,0801,,
230,Australasian Symposium on Grid Computing and e-Research (now AusPDC),AusGrid,ERA2010,C,Yes,0805,,
231,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,ERA2010,C,Yes,0805,,
232,Australasian Transport Research Forum,ATRF,ERA2010,A,No,1205,0905,
233,Australasian Urban and Regional Information Systems Association Conference,AURISA,ERA2010,C,Yes,0806,,
234,Australasian User Interface Conference,AUIC,ERA2010,B,Yes,0806,,
235,Australasian Wind Engineering Society Workshop in Wind Engineering,,ERA2010,C,No,0905,,
236,Australasian Women in Computing Workshop,WIC,ERA2010,C,Yes,0899,,
237,Australasian Workshop on Combinatorial Algorithms,AWOCA,ERA2010,B,Yes,0802,,
238,Australasian Workshop on Health Data and Knowledge Management,HDKM,ERA2010,B,Yes,0804,,
239,Australia New Zealand Geomechanics conference,,ERA2010,B,No,0905,,
240,Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,ERA2010,C,Yes,0801,,
241,Australian and New Zealand Academy of Management Conference,ANZAM,ERA2010,C,Yes,0806,,
242,Australian and New Zealand Architectural Science Association (ANZAScA) Annual Conference,ANZAScA,ERA2010,B,No,1201,1202,
243,Australian and New Zealand Association of Planning schools,ANZAPS,ERA2010,B,No,1202,1205,
244,Australian and New Zealand Intelligent Information Systems Conference,ANZIIS,ERA2010,C,Yes,0806,,
245,Australian and New Zealand Marketing Academy Conference,ANZMAC,ERA2010,C,Yes,0806,,
246,Australian Combustion Symposium,,ERA2010,C,No,0913,,
247,Australian Computer Human Interaction Conference,OZCHI,ERA2010,B,Yes,0806,1203,
248,Australian Conference for Knowledge Management and Intelligent Decision Support,ACKMIDS,ERA2010,B,Yes,0801,,
249,Australian Conference on Artificial Life and Computational Intelligence,ACALCI,ERA2010,B,Yes,0801,,
250,Australian Conference on Laser Diagnostics in Fluid Mechanics and Combustion,,ERA2010,B,No,0913,,
251,Australian Conference on Neural Networks,ACNN,ERA2010,C,Yes,0801,,
252,Australian Conference on Software Metrics,ACOSM,ERA2010,C,Yes,0803,,
253,Australian Data Mining Conference,AusDM,ERA2010,B,Yes,0804,,
254,Australian Digital Forensics Conference,,ERA2010,B,Yes,0804,,
255,Australian Earthquake Engineering Conference,,ERA2010,B,No,0905,,
256,Australian Game Developers Conference,AGDC,ERA2010,C,Yes,0806,,
257,Australian Geothermal Energy Conference,,ERA2010,C,No,0913,,
258,Australian Information Security Management Conference,ISM,ERA2010,B,Yes,0804,,
259,Australian Information Warfare and Security Conference,WarSec,ERA2010,C,Yes,0806,,
260,Australian Institute of Building Surveyors International Refereed Conference,AIBS,ERA2010,B,No,1202,,
261,Australian Institute of Computer Ethics Conference,AICE,ERA2010,C,Yes,0806,,
262,Australian Knowledge Acquisition Workshop,AKAW,ERA2010,C,Yes,0801,,
263,Australian MADYMO Users Meeting,MADYMO,ERA2010,C,Yes,0801,,
264,Australian MATLAB Conference,MATLAB,ERA2010,C,Yes,0802,,
265,Australian Road Research Board Annual Conference,,ERA2010,B,No,0905,,
266,Australian Software Engineering Conference,ASWEC,ERA2010,B,Yes,0803,,
267,Australian Supercomputing Conference,ACS,ERA2010,C,Yes,0805,,
268,Australian Symposium on Information Visualisation,ASIV,ERA2010,B,Yes,0801,,
269,International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,ERA2010,C,Yes,1005,,
270,Australian Universities Building Education Association Annual Conference,AUBEA,ERA2010,B,No,1202,,
271,Australian UNIX Users Group National Conference,AUUG,ERA2010,C,Yes,0803,,
272,Australian Water Association Convention - Ozwater,,ERA2010,C,No,0907,0905,
273,Australian Women in IT Conference,OzWIT,ERA2010,B,Yes,0899,,
274,"Australian Workshop on Mobile Computing, Databases and Applications",MCDA,ERA2010,C,Yes,0806,,
275,Australian Workshop on Requirements Engineering,AWRE,ERA2010,B,Yes,0803,0806,
276,Australian Workshop on Safety Critical Systems and Software,SCSS,ERA2010,C,Yes,1005,,
277,Australian Workshop on Software Architecture,AWSA,ERA2010,C,Yes,0803,,
278,Australian World Wide Web Conference,AusWeb,ERA2010,C,Yes,0805,,
279,Automated Software Engineering Conference,ASE,ERA2010,A,Yes,0803,,
280,Automation and Robotics International Symposium,ISARC,ERA2010,B,No,10,,
281,Automation of Software Test,AST,ERA2010,C,No,0804,,
282,International Conference on Computing Education Research (Baltic Sea Conference on Computing Education Research prior to 2008),Koli Calling,ERA2010,B,Yes,0899,,
283,Baosteel Academic Conference,,ERA2010,B,No,0910,0914,
284,Benelux Workshop on Information and System Security,WISSec,ERA2010,C,Yes,0803,,
285,Bioinformatics Visualization,BioViz,ERA2010,C,No,0801,,
286,Bled Electronic Commerce Conference,BECC,ERA2010,B,Yes,0806,,
287,Bluff Body Aerodynamics and Applications,,ERA2010,A,No,0905,0913,
288,Body Sensor Networks,BSN,ERA2010,C,No,0806,,
289,Brazilian Symposium on Computer Graphics and Image Processing,SIBGRAPI,ERA2010,C,Yes,0801,,
290,Brazilian Symposium on Databases,SBBD,ERA2010,C,Yes,0804,,
291,"Brazilian Symposium on Graphs, Algorithms and Combinatorics",GRACO,ERA2010,C,Yes,0802,,
292,Brazilian Symposium on Information and Computer Systems Security,SBSEG,ERA2010,C,Yes,0803,,
293,British Colloquium for Theoretical Computer Science,BCTCS,ERA2010,C,Yes,0802,,
294,British Computer Society Conference on Human-Computer Interaction,HCI,ERA2010,A,Yes,0806,,
295,British Computer Society Formal Aspects of Computing Science Specialist Group Workshop,BCS-FMW,ERA2010,C,Yes,0802,,
296,British Machine Vision Conference,BMVC,ERA2010,B,Yes,0801,,
297,British National Conference on Databases,BNCOD,ERA2010,B,Yes,0804,,
298,Built Environment Education Conference,BEECON,ERA2010,B,No,12,,
299,CAADFutures Biennial conference,CAADFutures,ERA2010,A,No,1201,,
300,Canadian Artificial Intelligence Conference,CAAI,ERA2010,B,Yes,0801,,
301,Canadian Conference on Computational Geometry,CCCG,ERA2010,C,Yes,0802,,
302,Canadian Conference on Computer and Robot Vision,CRV,ERA2010,C,Yes,0801,,
303,Canadian Conference on Electrical and Computer Engineering,CCECE,ERA2010,C,No,0905,,
304,Canadian Discrete and Algorithmic Mathematics Conference,CanaDAM,ERA2010,C,Yes,0802,,
305,Canadian Geotechnical Society Conference,,ERA2010,B,No,0905,,
306,"Canadian Society for Civil Engineering, International Construction Specialty Conference",ICSC,ERA2010,C,No,0905,,
307,Centre for Asian and Middle Eastern Architecture conference,CAMEA,ERA2010,A,No,1201,,
308,CGAL User Workshop,CGAL,ERA2010,C,No,0802,,
310,Challenges of Large Applications in Distributed Environments,CLADE,ERA2010,C,No,0805,,
311,Chemeca: Australasian Conference on Chemical Engineering,,ERA2010,B,No,0914,,
312,Chilean Database Workshop,JCC/WBD(CDW),ERA2010,C,Yes,0804,,
313,ChinaGrid Annual Conference,ChinaGrid,ERA2010,C,Yes,0805,,
314,CIRP Life Cycle Engineering Conference,,ERA2010,A,No,0910,0907,0915
315,Coastal Environment,,ERA2010,C,No,0911,,
317,Collaborative Electronic Commerce Technology and Research,CollECTeR,ERA2010,B,No,0806,,
318,"Colloquium on Mathematics and Computer Science: Algorithms, Trees, Combinatorics and Probabilities",MathInfo,ERA2010,C,No,0802,,
319,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,ERA2010,C,No,0802,,
320,CombinaTexas: Combinatorics in the South-Central U.S.,Combina Texas,ERA2010,C,Yes,0802,,
321,Combinatorial Pattern Matching,CPM,ERA2010,B,Yes,0802,0804,
322,Committee on Data for Science and Technology,CODATA,ERA2010,C,No,0804,,
323,Complex Objects Visualization Workshop,COV,ERA2010,C,No,0801,,
324,Complexity and information-theoretic approaches to biology,CITB,ERA2010,B,No,0803,,
325,"Composite Construction V, Kruger National Park, South Africa, American Society of Civil Engineers",,ERA2010,A,No,0905,,
326,Computability in Europe: Logic and Theory of Algorithms,CiE,ERA2010,C,No,0802,,
327,Computational Intelligence in Security for Information Systems,CISIS,ERA2010,B,No,0803,,
328,Computational Techniques and Applications Conference,CTAC,ERA2010,C,No,0802,,
329,Computational Topology Workshop,CT,ERA2010,C,No,0802,,
330,Computational Wind Engineering,,ERA2010,B,No,0905,,
331,Computer Aided Verification,CAV,ERA2010,A,Yes,0802,,
